Codigo,Valor
A2412291,8
A2412292,2
A2412293,7
A2412294,5
A2412295,7
A2412296,8
A2412297,5
A2412298,1
A2412301,5
A2412302,6
A2412303,2
A2412304,9
A2412305,8
A2412306,8
A2412307,5
A2412308,1
A2412311,4
A2412312,3
A2412313,8
A2412314,9
A2412315,0
A2412316,9
A2412317,5
A2412318,1
A2501021,4
A2501022,5
A2501023,6
A2501024,0
A2501025,9
A2501026,8
A2501027,5
A2501028,1
A2501041,2
A2501042,7
A2501043,7
A2501044,5
A2501045,4
A2501046,8
A2501047,5
A2501048,1
A2501061,2
A2501062,6
A2501063,6
A2501064,6
A2501065,7
A2501066,8
A2501067,5
A2501068,1
A2501071,3
A2501072,7
A2501073,3
A2501074,8
A2501075,7
A2501076,8
A2501077,5
A2501078,1
B2412291,9
B2412292,3
B2412293,7
B2412294,1
B2412295,4
B2412296,4
B2412297,3
B2412298,1
B2412301,5
B2412302,3
B2412303,0
B2412304,4
B2412305,8
B2412306,3
B2412307,3
B2412308,1
B2412311,4
B2412312,7
B2412313,0
B2412314,9
B2412315,1
B2412316,3
B2412317,3
B2412318,1
B2501021,9
B2501022,4
B2501023,4
B2501024,6
B2501025,3
B2501026,2
B2501027,3
B2501028,1
B2501041,0
B2501042,4
B2501043,8
B2501044,2
B2501045,4
B2501046,3
B2501047,3
B2501048,1
B2501061,4
B2501062,9
B2501063,4
B2501064,2
B2501065,3
B2501066,3
B2501067,3
B2501068,1
B2501071,9
B2501072,0
B2501073,3
B2501074,6
B2501075,7
B2501076,3
B2501077,3
B2501078,1
C2412291,7
C2412292,6
C2412293,4
C2412294,7
C2412295,1
C2412296,3
C2412297,9
C2412298,2
C2412301,0
C2412302,0
C2412303,3
C2412304,3
C2412305,7
C2412306,2
C2412307,9
C2412308,2
C2412311,8
C2412312,0
C2412313,9
C2412314,8
C2412315,2
C2412316,2
C2412317,9
C2412318,2
C2501021,3
C2501022,0
C2501023,1
C2501024,7
C2501025,2
C2501026,1
C2501027,9
C2501028,2
C2501041,2
C2501042,1
C2501043,6
C2501044,8
C2501045,8
C2501046,1
C2501047,9
C2501048,2
C2501061,6
C2501062,5
C2501063,1
C2501064,9
C2501065,0
C2501066,2
C2501067,9
C2501068,2
C2501071,2
C2501072,8
C2501073,6
C2501074,4
C2501075,5
C2501076,2
C2501077,9
C2501078,2
E2412291,9
E2412292,3
E2412293,7
E2412294,6
E2412295,4
E2412296,7
E2412301,4
E2412302,2
