Fecha,AFP A,AFP E,APV A,APV A15,APV E,APV E15
29-12-24,15875728,13441739,2624429,406326,2361502,340413
30-12-24,15889265,13384035,2626667,406672,2351365,338952
31-12-24,15909834,13319074,2630067,407199,2339952,337307
02-01-25,15890654,13236449,2625444,406708,2324232,335214
04-01-25,15845772,13342840,2618029,405559,2342914,337909
06-01-25,15876662,13332494,2623132,406350,2341097,337647
07-01-25,15878373,13376309,2623415,406393,2348791,338756
08-01-25,16082087,13384222,2657072,411607,2350180,338957
10-01-25,16028008,13231863,2648138,410223,2323427,335098
13-01-25,16025431,13143287,2647712,410157,2307874,332855
14-01-25,15991989,13159160,2642187,409301,2310661,333257
15-01-25,15872338,13047520,2622418,406239,2291058,330430
16-01-25,15855303,12999162,2619603,405803,2282566,329205
20-01-25,16023022,13068003,2647314,410096,2294654,330948
21-01-25,16195972,13132699,2675888,414522,2306014,332587
22-01-25,16281162,13176295,2689963,416702,2313670,333691
23-01-25,16205503,13192267,2677463,414766,2316474,334095
24-01-25,16302534,13316278,2693495,417250,2338250,337236
27-01-25,16250808,13378409,2684948,415926,2349160,338809
28-01-25,16206560,13340175,2677638,414793,2342446,337841
29-01-25,16173560,13361740,2672186,413949,2346233,338387
30-01-25,16115694,13460427,2662625,412467,2363561,340887
02-02-25,16219248,13425888,2679734,415118,2357496,340012
03-02-25,16230192,13386932,2680801,415398,2349439,339025
04-02-25,16293559,13376373,2691267,417020,2347586,338758
05-02-25,16243141,13361377,2682939,415729,2344954,338378
06-02-25,16159069,13327794,2669053,413578,2339060,337528
08-02-25,16164616,13338600,2669969,413720,2340956,337801
10-02-25,16138323,13435754,2665626,413047,2358007,340262
11-02-25,16153361,13439964,2668110,413432,2358746,340368
12-02-25,15997595,13446646,2642382,409445,2359919,340537
13-02-25,16032327,13475821,2648118,410334,2365039,341276
14-02-25,16017267,13436662,2645631,409948,2358167,340285
17-02-25,15872290,13291784,2621685,406238,2332740,336616
19-02-25,15890103,13402400,2624627,406694,2352154,339417
20-02-25,15992527,13382383,2641545,418817,2348641,338910
21-02-25,16036692,13303322,2648839,419974,2334765,336908
24-02-25,16050293,13285408,2651086,420330,2331621,336454
26-02-25,15898166,13380435,2625958,416346,2348299,338861
27-02-25,15910740,13420152,2628035,416675,2355269,339867
28-02-25,15837304,13533078,2615906,414752,2375088,342726
03-03-25,15890234,13511765,2623196,416138,2370119,342187
04-03-25,15890643,13483917,2623263,416149,2365234,341481
05-03-25,15930756,13558509,2629885,417199,2378318,343370
06-03-25,15872467,13586233,2620263,415673,2383181,344073
07-03-25,15717730,13674479,2594718,411621,2398661,346307
10-03-25,15673340,13592415,2587390,410458,2384266,344229
11-03-25,15517364,13571136,2561642,406373,2380533,343690
12-03-25,15572357,13598835,2570720,407814,2385392,344392
13-03-25,15462834,13682830,2552640,404945,2400125,346519
